set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
full11,5,pc2_gbt,ou_seqcal,mbb,20.0,0.051560024029712534,-0.017754486534282604,-0.005076485460197207,0.1199220744922011,0.1315638977341508,0.164,2910
full11,5,pc2_gbt,ou_seqcal,mbb,40.0,0.051560024029712534,-0.021237140025554994,-0.01064141185168035,0.11332121482898248,0.12502405654859852,0.152,2910
full11,5,pc2_gbt,ou_seqcal,mbb,60.0,0.051560024029712534,0.0029944351884395506,0.011496153604923783,0.1156564311443954,0.1279094450673053,0.04,2910
full11,5,pc2_gbt,ou_seqcal,stationary,10.0,0.051560024029712534,-0.015507863127639774,-0.0038502006394909184,0.10322096457220532,0.11772245998806635,0.136,2910
full11,5,pc2_gbt,ou_seqcal,stationary,20.0,0.051560024029712534,-0.016845753992995986,-0.004378467000047723,0.1126925482517727,0.12229856428183618,0.128,2910
full11,5,pc2_gbt,ou_seqcal,stationary,40.0,0.051560024029712534,-0.004105735740787379,0.006536531847995268,0.098831520890729,0.11239542860960414,0.072,2910
full11,5,pc2_gbt,ou_seqcal,episode_segments,,0.051560024029712534,-0.030308205582495272,-0.020081272775470175,0.12993870131195207,0.13940464005483963,0.252,2910
full11,5,raw_logistic,ou_seqcal,mbb,5.0,-0.040215856712965625,-0.2328280837374916,-0.20375843157238846,0.08007589386299074,0.11254534419189775,0.572,2910
full11,5,raw_logistic,ou_seqcal,mbb,10.0,-0.040215856712965625,-0.283099459386466,-0.22615653401543565,0.12003261372943379,0.1435936291009483,0.656,2910
full11,5,raw_logistic,ou_seqcal,mbb,20.0,-0.040215856712965625,-0.2693686648835347,-0.24041475891294764,0.11026290946873687,0.13091599388231714,0.644,2910
full11,5,raw_logistic,ou_seqcal,mbb,40.0,-0.040215856712965625,-0.22422255742099026,-0.17868643850984553,0.07782425835105668,0.11236585100553921,0.572,2910
full11,5,raw_logistic,ou_seqcal,mbb,60.0,-0.040215856712965625,-0.21298069056414137,-0.17939186539854332,0.07733700380851023,0.10256325068716815,0.46,2910
full11,5,raw_logistic,ou_seqcal,stationary,10.0,-0.040215856712965625,-0.2392164993992285,-0.1984168581605516,0.09403586699918053,0.11450770606424174,0.68,2910
full11,5,raw_logistic,ou_seqcal,stationary,20.0,-0.040215856712965625,-0.23851788522164735,-0.15907504783215468,0.07414323083527091,0.09742290729159057,0.588,2910
full11,5,raw_logistic,ou_seqcal,stationary,40.0,-0.040215856712965625,-0.1761619311411903,-0.1508569124641353,0.06068458935655985,0.08308129747865034,0.444,2910
full11,5,raw_logistic,ou_seqcal,episode_segments,,-0.040215856712965625,-0.3650760442870378,-0.32306914491758304,0.1405533147568755,0.17494949174471677,0.776,2910
full11,20,pc2_logistic,ou_seqcal,mbb,5.0,0.09851955009424254,0.05594448908368636,0.061580801982739394,0.15226584884847272,0.15961775767587238,0.0,2906
full11,20,pc2_logistic,ou_seqcal,mbb,10.0,0.09851955009424254,0.032812435805588,0.04478834574562996,0.17259222282772155,0.19167419688060705,0.0,2906
full11,20,pc2_logistic,ou_seqcal,mbb,20.0,0.09851955009424254,0.020491468803756043,0.030150648695351827,0.19851365071309535,0.21548028854083587,0.012,2906
full11,20,pc2_logistic,ou_seqcal,mbb,40.0,0.09851955009424254,0.01598173645070434,0.03193987465986985,0.2161196521499461,0.24583759199918684,0.02,2906
full11,20,pc2_logistic,ou_seqcal,mbb,60.0,0.09851955009424254,0.023787729290920955,0.031547584830495794,0.24054115999760708,0.2906683838202804,0.012,2906
full11,20,pc2_logistic,ou_seqcal,stationary,10.0,0.09851955009424254,0.03127318846366659,0.04233953544399189,0.17590771516654657,0.19092020636273313,0.0,2906
full11,20,pc2_logistic,ou_seqcal,stationary,20.0,0.09851955009424254,0.024754924556840325,0.03348392777921164,0.20804643734653483,0.23933346360965135,0.012,2906
full11,20,pc2_logistic,ou_seqcal,stationary,40.0,0.09851955009424254,0.02387190211734392,0.0311261829847379,0.20669420208673647,0.23031920262321284,0.012,2906
full11,20,pc2_logistic,ou_seqcal,episode_segments,,0.09851955009424254,-0.016223884160649456,-0.003380312808845965,0.28928091412514867,0.3434597608415097,0.136,2906
full11,20,pc2_gbt,ou_seqcal,mbb,5.0,0.10210212680084112,0.03520920098111862,0.04406087898485901,0.16501524426756345,0.17892239918391073,0.0,2906
full11,20,pc2_gbt,ou_seqcal,mbb,10.0,0.10210212680084112,0.006587053693971586,0.021369366365855614,0.17325135075192513,0.19400232808632437,0.028,2906
full11,20,pc2_gbt,ou_seqcal,mbb,20.0,0.10210212680084112,0.0037451645883604546,0.0195843209113894,0.1934114186105571,0.2179449249674225,0.044,2906
full11,20,pc2_gbt,ou_seqcal,mbb,40.0,0.10210212680084112,0.011754493979649065,0.023864803369803757,0.20553349289613654,0.23373303330390777,0.036,2906
full11,20,pc2_gbt,ou_seqcal,mbb,60.0,0.10210212680084112,0.013263629046185936,0.0249870505347551,0.2204855907151216,0.25361034891097983,0.012,2906
full11,20,pc2_gbt,ou_seqcal,stationary,10.0,0.10210212680084112,0.011870364122432793,0.02740383243247377,0.1829376302913304,0.2079832663620782,0.028,2906
full11,20,pc2_gbt,ou_seqcal,stationary,20.0,0.10210212680084112,0.012516756067130068,0.023193840903412366,0.20640533314718873,0.22862206837822224,0.016,2906
full11,20,pc2_gbt,ou_seqcal,stationary,40.0,0.10210212680084112,0.01673356941116414,0.03345009166597071,0.22387766553880137,0.295455850827329,0.02,2906
